"DATA SOURCE: US Census Bureau QuickFacts, https://www.census.gov/quickfacts/fact/table/US/PST045218",,,,,,,,,
City,State,2018 Population,Population Change (2010-2018 est) - weighted 40%,In Civilian Labor Force - weighted 10%,Median Household Income - weighted 10%,Persons Without Health Insurance - weighted 15%,Median Commute Time - weighted 15%,Percent in Poverty - weighted 10%,WEIGHTED Z-SCORE
Gary,Indiana,"75,282",-6.30%,51.10%,"$29,293.00",15.60%,27,35.80%,-1.313482013
Port Arthur,Texas,"55,018",1.20%,53.50%,"$32,571.00",33.40%,22.7,30.70%,-1.262623204
Detroit,Michigan,"672,662",-5.80%,53.60%,"$27,838.00",13.80%,26.4,37.90%,-1.223281011
Passaic,New Jersey,"69,948",0.20%,58.70%,"$34,920.00",27.00%,26.8,33.10%,-1.174955454
Newark,New Jersey,"282,090",1.80%,61.90%,"$34,826.00",23.30%,35.5,28.30%,-1.138656358
Pine Bluff,Arkansas,"42,271",-13.80%,52.40%,"$32,498.00",11.00%,18.1,30.40%,-1.138494894
Flint,Michigan,"95,943",-6.10%,51.20%,"$26,330.00",10.20%,22.9,41.20%,-1.137139618
Camden,New Jersey,"73,973",-4.00%,56.70%,"$26,105.00",16.50%,24.1,37.40%,-1.115457644
Warren,Ohio,"38,382",-7.70%,49.10%,"$29,241.00",10.40%,20.4,34.60%,-1.078486102
Huntington Park,California,"58,173",0.10%,62.90%,"$38,106.00",23.90%,31.4,28.00%,-1.074274423
New Brunswick,New Jersey,"56,100",2.90%,54.20%,"$38,413.00",23.50%,26.1,35.50%,-1.055939044
Brownsville,Texas,"183,392",4.90%,56.10%,"$35,636.00",35.20%,20.1,31.40%,-1.055131887
Hialeah,Florida,"238,942",6.30%,56.40%,"$31,012.00",31.50%,25.7,25.90%,-1.005240441
Bell Gardens,California,"42,331",0.70%,63.40%,"$39,008.00",23.20%,29.6,29.70%,-0.995102994
Union City,New Jersey,"68,520",3.10%,68.60%,"$43,424.00",30.30%,33,23.00%,-0.989855983
Cicero,Illinois,"81,597",-3.10%,65.90%,"$44,110.00",22.80%,31.3,19.80%,-0.986095726
Trenton,New Jersey,"83,974",-1.20%,59.80%,"$35,524.00",22.60%,24.8,27.30%,-0.970946459
Albany,Georgia,"75,249",-2.80%,57.70%,"$31,843.00",21.50%,18.3,33.20%,-0.953994085
Paterson,New Jersey,"145,627",-0.40%,57.50%,"$36,106.00",21.30%,23.9,29.00%,-0.940875821
